,Experiment Name,SampleName,Avg Exp_1,Avg Exp_2
0,Exp_40_WT,KQ958_10uM,0.633536656,0.775124522
1,Exp_40_WT,KQ106_10uM,0.468298395,0.736368593
2,Exp_40_WT,KQ830_10uM,0.981799271,0.991373087
3,Exp_40_WT,KQ373_10uM,0.331136971,0.28155721
4,Exp_40_WT,KQ500_10uM,0.529792748,0.58743454
5,Exp_40_WT,KQ479_10uM,0.675252977,0.789220316
6,Exp_40_WT,KQ105_10uM,0.636176947,0.739437441
7,Exp_40_WT,KQ920_10uM,0.875087995,0.831910367
8,Exp_40_WT,KQ332_10uM,0.347359149,0.581358502
9,Exp_40_WT,KQ501_10uM,0.702952933,0.692794797
10,Exp_40_WT,KQ480_10uM,0.652251382,0.739437441
11,Exp_40_WT,KQJM071_10uM,0.804687206,0.892237692
12,Exp_40_WT,KQ921_10uM,0.880564141,0.834220112
13,Exp_40_WT,KQ258_10uM,0.51673625,0.476153948
14,Exp_40_WT,KQ955_10uM,0.347359149,0.383287804
15,Exp_40_WT,KQ995_10uM,0.631344786,0.644610682
16,Exp_40_WT,KQ928_10uM,0.818752891,0.751841262
17,Exp_40_WT,KQ371_10uM,0.5163782,0.495343079
18,Exp_40_WT,KQ957_10uM,0.385686352,0.444883655
19,Exp_40_WT,KQ288_10uM,0.645952506,0.601860066
20,Exp_40_WT,KQ980_10uM,0.800792296,0.738925079
21,Exp_40_WT,KQ280_10uM,0.693275172,0.742004582
22,Exp_40_WT,KQ956_10uM,0.351720176,0.414516088
23,Exp_40_WT,KQ426_10uM,0.857673232,0.533108097
24,Exp_40_WT,KQJM069_10uM,0.879953992,0.862442393
25,Exp_40_WT,KQ372_10uM,0.71276579,0.645952506
