SampleName,ASO Microsynth ID,Test plate #,MT Avg Exp,WT Avg Exp,Tier
KQ955_10_P2.3-4,KQ955_L20_5-10-5_10uM_P2.3-4,4.0,0.21619495953283727,0.5949699023270852,020050
KQ2021_10_P2.3-5,KQ2021_L21_6-10-5_10uM_P2.3-5,5.0,0.3575526509146932,0.39500589999697094,030030
KQ957_10_P9,KQ957_L20_5-10-5_10uM_P2.3-9,9.0,0.36438663481268024,0.5978962102067554,030050
KQ2065_10_P9,KQ2065_L20_6-08-6_10uM_P2.3-9,9.0,0.30021776796124316,0.639273941966421,030060
KQ372_10_P9,KQ372_L20_5-10-5_10uM_P2.3-9,9.0,0.34534019978439806,0.8760527907760974,030080
KQ272_10_P2.3-6,KQ272_L20_5-10-5_10uM_P2.3-6,6.0,0.42163330040101127,0.5341777200387131,040050
KQ288_10_P2.3-3,KQ288_L20_5-10-5_10uM_P2.3-3,3.0,0.4538342863287226,0.648529555994615,040060
KQ927_10_P2.3-2,KQ927_L20_5-10-5_10uM_P2.3-2,2.0,0.4789934418302986,0.6495077343402018,040060
KQ274_10_P2.3-3,KQ274_L20_5-10-5_10uM_P2.3-3,3.0,0.42186905054923063,0.7998588955845619,040070
KQ499_10_P2.3-7,KQ499_L20_5-10-5_10uM_P2.3-7,7.0,0.41374718165335167,0.7988443481853742,040070
KQ997_10_P2.3-6,KQ997_L20_5-10-5_10uM_P2.3-6,6.0,0.48803630203399506,0.7055502440220178,040070
KQ426_10_P2.3-3,KQ426_L20_5-10-5_10uM_P2.3-3,3.0,0.5864257664052358,0.6631469297356548,050060
KQ921_10_P2.3-3,KQ921_L20_5-10-5_10uM_P2.3-3,3.0,0.5665041855769921,1.127458352269494,050100
KQ2019_10_P2.3-1,KQ2019_L21_6-10-5_10uM_P2.3-1,1.0,0.6203551149920409,1.1652638809908171,060100
KQ2063_10_P2.3-1,KQ2063_L21_7-08-6_10uM_P2.3-1,1.0,0.6570088360755174,1.158454009661856,060100
KQJM071_10_P2.3-2,KQJM071_L17_5-08-4_10uM_P2.3-2,2.0,0.8090026692922736,1.1838047067386894,080100
KQJM077_10_P2.3-4,KQJM077_L17_5-08-4_10uM_P2.3-4,4.0,0.8662561853483398,1.1919364936820938,080100
KQJM105_10_P2.3-3,KQJM105_L19_6-08-5_10uM_P2.3-3,3.0,0.879390212086092,1.1277846951381036,080100
KQ991_10_P2.3-5,KQ991_L20_5-10-5_10uM_P2.3-5,5.0,0.9134139290796061,0.8170517143023339,090080
KQ455_10_P2.3-4,KQ455_L20_5-10-5_10uM_P2.3-4,4.0,0.9599755024131169,1.284474531580943,090100
KQJM069_10_P2.3-3,KQJM069_L19_5-10-4_10uM_P2.3-3,3.0,0.964372399197424,1.1098643879188972,090100
KQJM151_10_P2.3-7,KQJM151_L18_5-08-5_10uM_P2.3-7,7.0,0.9998646549757412,1.0202847407013176,090100
KQ972_10_P2.3-1,KQ972_L20_5-10-5_10uM_P2.3-1,1.0,1.2419243515071454,1.2203710816673674,100100
KQJM008_10_P2.3-4,KQJM008_L20_6-08-6_10uM_P2.3-4,4.0,1.0034939860802188,1.5764534208224006,100100
KQJM106_10_P2.3-3,KQJM106_L17_5-08-4_10uM_P2.3-3,3.0,1.0746071582782752,1.2727712829640365,100100
KQJM148_10_P2.3-7,KQJM148_L17_5-08-4_10uM_P2.3-7,7.0,1.3519918739447092,1.3410290848023545,100100
